"tyear","tmonth","id_sepomex","cap_rate","delta_cap_rate","median_cap_rate","delta_median_cap_rate"
2023,9,11371,1.2511871295744055,29.914866079874187,0.04632635791480639,0.17631605219440538
2023,10,11371,0.04925656627563734,-0.9606321347851523,0.047380801523881376,0.02276120240261692
2023,8,11377,0.0700762751124192,,0.06983372921615202,
2023,5,11380,0.07141595925297113,,0.07141595925297113,
2023,5,11385,0.05501538461538461,,0.05501538461538461,
2023,4,11386,0.05344012815378454,,0.05344012815378454,
2023,6,11386,0.06860129685293717,0.2837038237543774,0.06931798770412884,0.2971149227908403
2023,8,11386,0.0594377608192244,-0.13357671726464504,0.0594377608192244,-0.14253481977977167
2022,12,11388,0.059813084112149535,,0.059813084112149535,
2023,5,11388,0.11326321119980527,0.8936193122467444,0.25064946480854144,3.190545739767802
2023,6,11388,0.04389992924372389,-0.612407870316506,0.042666666666666665,-0.8297755524861878
2023,10,11388,0.10940280568207464,1.492095262265492,0.09814841813675464,1.300353550080187
2023,3,11390,0.07005881723879799,,0.07005881723879799,
2023,6,11390,0.06832275988501178,-0.024779998038916284,0.07061786066201964,0.00797962976331923
2023,7,11390,0.076612453683199,0.12133136618220464,0.07553311688311688,0.06960358434846792
2023,8,11390,0.06131934109624716,-0.19961653558559223,0.057176197836166925,-0.24303139873542123
2023,3,11394,0.0704,,0.0704,
2023,6,11394,0.0935431567375043,0.3287380218395495,0.10812821527502968,0.5359121487930352
2023,7,11394,0.09006203362738763,-0.03721408632686196,0.09006203362738763,-0.1670811046098355
2023,10,11394,0.09083446525749642,0.008576662096089871,0.09557588338285833,0.06122279870209324
2023,1,11427,0.04521739130434783,,0.04521739130434783,
2023,4,11427,0.04327838323455353,-0.04288190923583535,0.04327838323455353,-0.04288190923583535
2023,5,11427,0.06703976429071433,0.5490357836932704,0.07065127029224487,0.6324840488920294
2023,8,11427,0.04233669492049743,-0.36848383390928063,0.04233669492049743,-0.40076526939467394
2023,7,11429,0.10164552517248501,,0.10164552517248501,
2023,5,11433,0.11470510347661514,,0.11217970912414753,
2023,8,11433,0.15031578947368418,0.31045424238101993,0.15031578947368418,0.3399552436647171
2023,7,11435,0.03588059323108125,,0.03588059323108125,
2023,6,11440,0.0476409666283084,,0.0476409666283084,
2023,4,11450,0.1689795918367347,,0.1689795918367347,
2023,7,11450,0.1008032345013477,-0.4034591194968554,0.1008032345013477,-0.4034591194968554
2023,4,11453,0.1704805731667911,,0.1704805731667911,
2023,4,11473,0.05737505340847972,,0.04530412542230149,
2023,5,11473,0.0969744666404255,0.6901852090667198,0.14286313141898974,2.153424331389116
2023,6,11473,0.04440428236523529,-0.5421033607755406,0.042436791553856,-0.7029549112332057
2023,9,11473,0.048564009730588296,0.09367851801180582,0.04942750613857158,0.16473240150221424
2023,10,11473,0.038121271370900205,-0.21503039838802018,0.03793501155920883,-0.23251212689434864
2023,6,11480,0.05641177298728668,,0.057493704526056934,
2023,5,11487,0.18190344827586205,,0.18190344827586205,
2022,9,11493,0.05565283817134799,,0.05565283817134799,
2022,8,11495,0.04831805217344436,,0.054401728498121735,
2022,9,11495,0.05263098706325202,0.0892613566938869,0.05570743031553623,0.024001109035709733
